"address","challengeid","nounce","status"
"addr1qyh05yhwryms44r645rth6h45rwxw2aj5pj2fye5nhf4yzawk4y85r5fquxm89d3xng0djy9dusxx6cqsu9xxs2sphxs7k9v2v","**D07C19","03eabaf731f8019c","OK"
"addr1qydhkn9r9gdvfemxmlyqp69wa8vv88ng9v05r7zqgf2yc2kq322x7tekp9crerx6gf4keg3ss7c87v0jsskax054rl3s4fug9v","**D07C19","b07c3dc8a694bb48","OK"
"addr1qydw6r3vs30pw5pa92rflefu3z00nfjsy48hpf3yamxqne237ryptepzhc85m86rq9jdr38mn8pcq4tay40htlujjt2stsnt5h","**D07C19","0bd6ad0bb904487a","OK"
"addr1q9hgm8vn3tz7hn64tnezsctjwgxuw4vgl2803ekc06fu4mvz446fd46z4ze2czy85nnd2lealnuzsrtft0hs35vjknhscf5ffw","**D07C19","570d73ad40aa4236","OK"
"addr1qyrr03yzez8yps9na8n7xtgnfknshzp4gqzyzyq9y45rke3nuhvu9qvwetv6v3kxd5qkzxwrwpn8xelejhd0r0td2z3qcqpkcf","**D07C19","401b398ce448118c","OK"
"addr1q93tzy3dm8r7t2x8nttjsdufql35gzqvnnmxt2qwq7h2jrzgxm7hcz868mdrkrag9luefz3hqxavc5h87gx0ydv07fuse88pe2","**D07C19","76a06e15926f7e6a","OK"
"addr1qyh05yhwryms44r645rth6h45rwxw2aj5pj2fye5nhf4yzawk4y85r5fquxm89d3xng0djy9dusxx6cqsu9xxs2sphxs7k9v2v","**D07C20","68d581d31cd79b03","OK"
"addr1qydhkn9r9gdvfemxmlyqp69wa8vv88ng9v05r7zqgf2yc2kq322x7tekp9crerx6gf4keg3ss7c87v0jsskax054rl3s4fug9v","**D07C20","ff789afc2776f6fa","OK"
"addr1q8znuqf74ndn0n2rm6hqpejf7lzjy2cku8335axcy98g4r2r3nyevctvtajc9656w06wk5kucp4a4spl0sw3d6g7um4s38ymqr","**D07C18","a4f89c663f7ae280","OK"
"addr1qy3csmd20n5v6ncc779jerzfqsvxw9xly3vmjfr8spx0npkxthj9g2s0cgecdpsjlr55vtdjmm2squk69p95cklncv2qeu0cm0","**D07C18","64b50a0dac08b98c","OK"
"addr1qydw6r3vs30pw5pa92rflefu3z00nfjsy48hpf3yamxqne237ryptepzhc85m86rq9jdr38mn8pcq4tay40htlujjt2stsnt5h","**D07C20","f8b431c25ab812ea","OK"
"addr1q9hgm8vn3tz7hn64tnezsctjwgxuw4vgl2803ekc06fu4mvz446fd46z4ze2czy85nnd2lealnuzsrtft0hs35vjknhscf5ffw","**D07C20","388a1a6ab0b5cf7f","OK"
"addr1qy7eycs367w56qk7qtjzwtejjaz4nzd5ah6gqd5svq5vn88gwa4rem8mqeqlrtudkyj23hg4gzncm2dp5rqrlx9sjzvqguw4fa","**D07C18","bf8b961cf64b67f9","OK"
"addr1qyrr03yzez8yps9na8n7xtgnfknshzp4gqzyzyq9y45rke3nuhvu9qvwetv6v3kxd5qkzxwrwpn8xelejhd0r0td2z3qcqpkcf","**D07C20","409a283f531dc228","OK"
"addr1q9z8hfnatl55vreujm35q3knnxd4hrzy8yeu3tzvhjnh6x505glrcflcgwfcx9patcul4a5ejvgczdhpjtq2c6d0a0asrzzl0r","**D07C19","b19032aa1171007d","OK"
"addr1q8hxeplaz0ksfcp6qdju3wxutxe43zjj7fq5uhfegjsq5nnzvqp3l4tlhc55sph9z725cpygj060qhuvvj8a68vkswgq09de72","**D07C19","20b6b175786b2038","OK"
"addr1qypkwzcq24y2ma0w7l8v0vv6524nv2fh8raulqchq6suj7f6lj02e8ehjdf3ed8npdv72yk8ppp7l8757sfq9zyn48kscyusqu","**D07C18","55dcd588bb3797e7","OK"
"addr1qywhtq522evxxjx7h6h5xxqhvz8wvtu0tytmfzlt8gzy0rathsfku293m6p7d00yat90qng90qp8qadwrtes7zvwq36qf6nxp7","**D07C18","be84ed07d8289e89","OK"
"addr1q93tzy3dm8r7t2x8nttjsdufql35gzqvnnmxt2qwq7h2jrzgxm7hcz868mdrkrag9luefz3hqxavc5h87gx0ydv07fuse88pe2","**D07C20","0e183c97719908da","OK"
"addr1q9fhk5c40yndvu980g86nhqfyp6nnfezwzuj4qa7p7cjytysszyvma8p94zc850du9xfnvwq0tw5luq4k7gn3g5jalss3rcwq3","**D07C19","3f4f53b278a6fa39","OK"
"addr1q8ejau40e0erjlepyvl30sndf8np6pqg6xzrjmyyfm03vnn23wflk4qmfkslvnwr8gxjjk7me3wf3lzgyetk25qm9f4svtdekh","**D07C19","0a1816671a2b0ccf","OK"
"addr1q9qux8uesw3ck8dfkd7xn6n68ddypsmn9tyc56v586qnqn6m7pwyw3vlxjx693lhuaeat8vx0guclnf7hjq7cfcf76xqf22llg","**D07C19","661e7a409fab5567","OK"
"addr1qxy0td0rvuhm4ddvp2svr6mx9w7hhwge2t02s3flr8zq8e9lp8j9268wjj4rzddw8czwwpe3h3jqjppq7shp9l0yrgeqh5rd2e","**D07C19","b4e640ff792cbe6e","OK"
"addr1q8znuqf74ndn0n2rm6hqpejf7lzjy2cku8335axcy98g4r2r3nyevctvtajc9656w06wk5kucp4a4spl0sw3d6g7um4s38ymqr","**D07C19","c399ed25bdd2048a","OK"
"addr1qy3758ga98ccaztylrnue8ej63ynskmgurrljaddsjq5tpwe7dncxgt6cnppgkjn2x3r48s26tu2nwphygep9fzm3kusyayuqf","**D07C19","c9a4d5fa33471d96","OK"
"addr1qy3csmd20n5v6ncc779jerzfqsvxw9xly3vmjfr8spx0npkxthj9g2s0cgecdpsjlr55vtdjmm2squk69p95cklncv2qeu0cm0","**D07C19","df8cce7c0e3eff2f","OK"
"addr1q9z8hfnatl55vreujm35q3knnxd4hrzy8yeu3tzvhjnh6x505glrcflcgwfcx9patcul4a5ejvgczdhpjtq2c6d0a0asrzzl0r","**D07C20","d0625a9ee13b1d18","OK"
"addr1qy7eycs367w56qk7qtjzwtejjaz4nzd5ah6gqd5svq5vn88gwa4rem8mqeqlrtudkyj23hg4gzncm2dp5rqrlx9sjzvqguw4fa","**D07C19","69a180439bb4f5b1","OK"
"addr1qyh05yhwryms44r645rth6h45rwxw2aj5pj2fye5nhf4yzawk4y85r5fquxm89d3xng0djy9dusxx6cqsu9xxs2sphxs7k9v2v","**D07C21","697388e8f00293b0","OK"
"addr1q8hxeplaz0ksfcp6qdju3wxutxe43zjj7fq5uhfegjsq5nnzvqp3l4tlhc55sph9z725cpygj060qhuvvj8a68vkswgq09de72","**D07C20","a074d4af7ee69ac4","OK"
